"langs","codes","fams","scripts","mean_types","sd_types","mean_tokens","sd_tokens","char.h0","char.h1","char.h2","doubledWords","tripledWords","minimalPairs","minimalTriplets"
"Full Voynich Maximal Simplified Text","voy.f.s.text","Voynich","Voynich",6.32921331976152,0.302212728058298,5.06225669191538,0.242074203088537,4.4594316186373,3.8768721945164,2.11567465167617,0.000302014436290055,0.000302014436290055,0.00265772703935248,0.00265772703935248
"Voynich A Maximal Simplified Text","voy.a.s.text","Voynich","Voynich",6.01913580246914,0.381794057969437,4.86395600432744,0.359904411608648,4.39231742277876,3.84196611903253,2.14648970560059,0.00027073368829528,0.00027073368829528,0.00306831513401318,0.00306831513401318
"Voynich A Maximal Simplified Text","voy.b.s.text","Voynich","Voynich",6.27634408602151,0.251223853389269,5.16357924885665,0.22232086930222,4.4594316186373,3.87548580286236,2.00485304921107,0.000323594674556213,0.000323594674556213,0.00249630177514793,0.00249630177514793
"Caesar Bello Gallico","caesar","Latin","Latin",9.61864282573648,1.90141157066185,6.70309525104716,1.78199769951108,4.58496250072116,4.03548509039249,3.35489193268316,0,0,0,0
"Dante Inferno","dante","Italian","Latin",6.94917893544734,1.21500264930127,4.07531342741203,0.909880591875072,4.8073549220576,4.11540273720759,3.21895800039163,0,0,0,0
"Dee Elements","dee","English","Latin",8.51691915616593,1.76154527688601,5.16272098647682,1.39260033284609,5.4262647547021,4.20380417956339,3.40689215262849,0,0,0,0
"Descartes Meditationes","descart","Latin","Latin",8.85653930933137,2.1551833471829,5.87817431140773,1.8230522866268,5.16992500144231,4.06887167698734,3.34211698846746,0,0,0,0
"Melanchthon Confession","melanch","German","Latin",9.19178885630498,3.34353365770155,5.97020812353139,2.67398864128678,5.32192809488736,4.09128256668674,3.2129528980461,0,0,0,0
"Paracelsus Panagranum","paracel","German","Latin",7.29238628071029,0.833547945831525,4.60370058873003,0.606287655654295,5.12928301694497,3.98513502910412,3.11956932959198,0,0,0,0
"Polygraphia III small set","p3.10c","Polygraphian","Cipher",5.17316017316017,0.0860179272198485,5.07633199615798,0.00636914736755337,4.16992500144231,3.65243911464689,2.20665599963368,0,0,0.00104525679416916,0.00104525679416916
"Polygraphia III medium set","p3.24c","Polygraphian","Cipher",5.14897579143389,0.0908868760920631,5.04151364483869,0.0103388754952698,4.32192809488736,3.82885099727678,2.46830160468245,0,0,0.000169501101757161,0.000169501101757161
"Polygraphia III full set","p3.131c","Polygraphian","Cipher",5.60446009389671,0.0123971323449828,5.49419458726482,0.000130912160835383,4.52356195605701,4.00303856762328,2.89849608733538,0,0,2.82501836261936e-05,2.82501836261936e-05
