"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Full Voynich Maximal","voy.f.com","Voynich","Voynich",37940,8172,229905,45,5.49185309632967,3.8828154203982,6.0420908986529,2.15927547825469,7.92918721499183,1.88709631633893,11.5110182085637,9.8056699680628,12.9933917547634,3.18772178670059,13.1971001771273,0.20370842236394,0.619197368421053,0.536473684210526,0.457134291915355,"daiin","ol","chedy","aiin","shedy",0.0227464417501318,0.0141539272535582,0.0736953083816553,0.120347917764892,0.219319978914075,0.314285714285714,0.421665788086452,-0.634160677110133,0.00145970257313259,-0.603996222996386,0.0117486155501842
"Full Voynich Maximal Text","voy.f.com.text","Voynich","Voynich",33111,6936,200988,36,5.16992500144231,3.88036560832394,5.99726427857615,2.11689867025222,7.83897316374047,1.84170888516432,11.2152515510764,9.625234572709,12.6626051090875,3.03737053637852,12.8610112956518,0.198406186564299,0.613221191340594,0.533553524112348,0.450297426801504,"daiin","ol","chedy","aiin","shedy",0.0246745794448975,0.0150705203708737,0.077647911570173,0.12603062426384,0.228262510948023,0.325511159433421,0.435202802693969,-0.641971405582315,0.00153056410130148,-0.621454054173809,0.0114737561005837
"Full Voynich Maximal Simplified","voy.f","Voynich","Voynich",37940,8153,229907,22,4.4594316186373,3.87835068992211,6.03606019970056,2.15770950977845,7.92388464381936,1.88782444411879,11.5093515642447,9.80294755274389,12.9924856933833,3.18953814063942,13.1967567249996,0.204271031616253,0.618960526315789,0.536236842105263,0.456871134020619,"daiin","ol","chedy","aiin","shedy",0.0227464417501318,0.0141539272535582,0.0736953083816553,0.120347917764892,0.219319978914075,0.314285714285714,0.421665788086452,-0.634037052272474,0.00146034678403269,-0.603996222996386,0.0117486155501842
"Full Voynich Maximal Simplified Text","voy.f.text","Voynich","Voynich",33111,6926,200988,22,4.4594316186373,3.8768721945164,5.99254684619258,2.11567465167617,7.83459207416056,1.84204522796799,11.2145265784499,9.62469989763822,12.6626051090875,3.0379052114493,12.8610112956518,0.198406186564299,0.613191340594326,0.533524112347642,0.450238603272092,"daiin","ol","chedy","aiin","shedy",0.0246745794448975,0.0150705203708737,0.077647911570173,0.12603062426384,0.228262510948023,0.325511159433421,0.435202802693969,-0.641929610965988,0.00153114872589947,-0.621454054173809,0.0114737561005837
"Full Voynich Minimal","voy.f.min","Voynich","Voynich",37940,8104,188636,41,5.35755200461808,3.94350341204265,6.41897380051699,2.47547038847433,8.67386399830409,2.2548901977871,11.5042271334238,9.79872787272235,12.9921586766287,3.19343080390632,13.1968067350016,0.204648058372898,0.618565789473684,0.535682530795073,0.456186109603907,"daM","ol","Sedy","aM","Zedy",0.0227464417501318,0.0141539272535582,0.0736953083816553,0.120347917764892,0.219399051133368,0.314364786505008,0.421797575118608,-0.633791363368938,0.00146329073976315,-0.603830731527415,0.0117529019938586
"Full Voynich Minimal Text","voy.f.min.text","Voynich","Voynich",33111,6881,163570,41,5.35755200461808,3.94189875146437,6.37900822603565,2.43710947457128,8.59497221469988,2.21596398866423,11.2095235713944,9.6205578583834,12.662255074084,3.04169721570062,12.8610613056538,0.198806231569799,0.612803280892833,0.532994700582936,0.449479774448033,"daM","ol","Sedy","aM","Zedy",0.0246745794448975,0.0150705203708737,0.077647911570173,0.126060825707469,0.22835311527891,0.325601763764308,0.435323608468485,-0.641666005595848,0.00153438993333178,-0.621291190887729,0.0114825504731126
"Voynich A Maximal","voy.a.com","Voynich","Voynich",11415,3460,67244,36,5.16992500144231,3.852736354266,6.02327302169467,2.17053666742867,7.91861152335872,1.89533850166405,10.5585215778329,9.25848076735047,11.7344886071956,2.47600783984514,11.8726387948957,0.138150187700101,0.627016238868518,0.552364457831325,0.471474676089517,"daiin","chol","chor","s","dy",0.0447656592203241,0.0245291283399036,0.110468681559352,0.156898817345598,0.251248357424442,0.339903635567236,0.44388961892247,-0.780441150111424,0.0013991620104142,-0.857346084319495,0.00824592612857354
"Voynich A Maximal Text","voy.a.com.text","Voynich","Voynich",11081,3281,65125,33,5.04439411935845,3.84812675304128,5.99745396126989,2.14932720822861,7.87168718920529,1.8742332279354,10.3459032756018,9.06328863475972,11.5391876466998,2.47589901194008,11.6784242764424,0.139236629742631,0.629456790123457,0.561042181069959,0.465935630588961,"daiin","chol","chor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346268387329663,0.451854525764823,-0.782143870218171,0.00143856848149212,-0.86141559408927,0.00841228075733735
"Voynich A Maximal Simplified","voy.a","Voynich","Voynich",11415,3449,67246,21,4.39231742277876,3.84619269306453,6.01394874356216,2.16775605049763,7.91046074191415,1.89651199835199,10.5561802985284,9.25646085961323,11.7344886071956,2.47802774758237,11.8726387948957,0.138150187700101,0.6267553693033,0.552114457831325,0.470974676089517,"daiin","chol","chor","s","dy",0.0447656592203241,0.0245291283399036,0.110468681559352,0.156898817345598,0.251248357424442,0.339903635567236,0.443977222952256,-0.780254471202867,0.00139947297009025,-0.85728308958995,0.00823712093684639
"Voynich A Maximal Simplified Text","voy.a.text","Voynich","Voynich",11081,3272,65125,21,4.39231742277876,3.84196611903253,5.98845582463312,2.14648970560059,7.86336818402884,1.87491235939572,10.343996209004,9.06195744889803,11.5391876466998,2.47723019780177,11.6784242764424,0.139236629742631,0.629369833601718,0.560958847736626,0.465602297255628,"daiin","chol","chor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346268387329663,0.451944770327588,-0.782014517462665,0.00143884036039517,-0.861351992718116,0.00840375706205196
"Voynich A Minimal","voy.a.min","Voynich","Voynich",11415,3436,54378,39,5.28540221886225,3.90044543517268,6.40454112801231,2.50409569283964,8.6894054399421,2.28486431192979,10.5498613892708,9.24916541992289,11.7344886071956,2.48532318727272,11.8727388148997,0.138250207704102,0.62619800942902,0.551379518072289,0.470135747938751,"daM","Sol","Sor","s","dy",0.0447656592203241,0.0245291283399036,0.110468681559352,0.156898817345598,0.251248357424442,0.340166447656592,0.444240035041612,-0.779972756956583,0.0014016171919995,-0.856979638112115,0.00823825235291633
"Voynich A Minimal Text","voy.a.min.text","Voynich","Voynich",11081,3260,52460,39,5.28540221886225,3.89820618801255,6.38304649856409,2.48484031055154,8.64958883032686,2.26654233176278,10.3360814396589,9.05362962127353,11.5391876466998,2.48555802542628,11.6785242964464,0.139336649746631,0.629022007514761,0.560458847736625,0.464664739438791,"daM","Sol","Sor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346448876455194,0.452125259453118,-0.781772193866042,0.00144028759876308,-0.861147130360816,0.00840206886467674
"Voynich B Maximal","voy.b.com","Voynich","Voynich",23226,4947,142885,32,5,3.87801319108208,5.89272595192474,2.01471276084266,7.63072540609351,1.73799945416877,11.0615402644073,9.48237450512437,12.5239949089662,3.04162040384179,12.7374405294529,0.213445620486743,0.594508378836377,0.510787241887906,0.43030220228385,"chedy","ol","shedy","aiin","daiin",0.0211401016102644,0.0181262378369069,0.0858951175406872,0.14470851631792,0.257340911047963,0.365753896495307,0.473305778007405,-0.598118864421187,0.00243360479406175,-0.5257871766012,0.0172226163868012
"Voynich B Maximal Text","voy.b.com.text","Voynich","Voynich",21632,4661,133442,30,4.90689059560852,3.87750740629311,5.88255358999893,2.00504618370583,7.60940341472736,1.72684982472842,10.8217904560552,9.34790695312483,12.2105958189153,2.8626888657905,12.4095029503219,0.198907131406584,0.598152892561983,0.507216340621404,0.427084670231729,"chedy","ol","shedy","aiin","daiin",0.0210336538461538,0.0183062130177515,0.0864922337278106,0.14686575443787,0.25882951183432,0.36769600591716,0.475915310650888,-0.595657643299175,0.00254092619926774,-0.520276802784167,0.0173866691745996
"Voynich B Maximal Simplified","voy.b","Voynich","Voynich",23226,4946,142885,22,4.4594316186373,3.87590669757196,5.89050586204328,2.01459916447131,7.62891791261955,1.73841205057627,11.0613405972477,9.48230783845771,12.5239949089662,3.04168707050846,12.7374405294529,0.213445620486743,0.594465825644888,0.510745575221239,0.430260535617183,"chedy","ol","shedy","aiin","daiin",0.0211401016102644,0.0181262378369069,0.0858951175406872,0.14470851631792,0.257340911047963,0.365753896495307,0.473305778007405,-0.598112564385746,0.00243376066120778,-0.5257871766012,0.0172226163868012
